Unnamed: 0,course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled,combined_text
134,(ISC)² Systems Security Certified Practitioner (SSCP),(ISC)²,SPECIALIZATION,4.7,Beginner,5300.0,isc systems security certified practitioner sscp isc specialization beginner
743,A Crash Course in Causality:  Inferring Causal Effects from Observational Data,University of Pennsylvania,COURSE,4.7,Intermediate,17000.0,a crash course in causality  inferring causal effects from observational data university of pennsylvania course intermediate
874,A Crash Course in Data Science,Johns Hopkins University,COURSE,4.5,Mixed,130000.0,a crash course in data science johns hopkins university course mixed
413,A Law Student's Toolkit,Yale University,COURSE,4.7,Mixed,91000.0,a law students toolkit yale university course mixed
635,A Life of Happiness and Fulfillment,Indian School of Business,COURSE,4.8,Mixed,320000.0,a life of happiness and fulfillment indian school of business course mixed
661,ADHD: Everyday Strategies for Elementary Students,University at Buffalo,COURSE,4.7,Beginner,39000.0,adhd everyday strategies for elementary students university at buffalo course beginner
54,AI For Everyone,deeplearning.ai,COURSE,4.8,Beginner,350000.0,ai for everyone deeplearningai course beginner
488,AI For Medical Treatment,deeplearning.ai,COURSE,4.8,Intermediate,2400.0,ai for medical treatment deeplearningai course intermediate
58,AI Foundations for Everyone,IBM,SPECIALIZATION,4.7,Beginner,61000.0,ai foundations for everyone ibm specialization beginner
129,AI for Medical Diagnosis,deeplearning.ai,COURSE,4.7,Intermediate,12000.0,ai for medical diagnosis deeplearningai course intermediate
283,AI for Medical Prognosis,deeplearning.ai,COURSE,4.6,Intermediate,4000.0,ai for medical prognosis deeplearningai course intermediate
35,AI for Medicine,deeplearning.ai,SPECIALIZATION,4.7,Intermediate,13000.0,ai for medicine deeplearningai specialization intermediate
43,AWS Fundamentals,Amazon Web Services,SPECIALIZATION,4.6,Beginner,130000.0,aws fundamentals amazon web services specialization beginner
631,AWS Fundamentals: Addressing Security Risk,Amazon Web Services,COURSE,4.3,Beginner,11000.0,aws fundamentals addressing security risk amazon web services course beginner
861,AWS Fundamentals: Building Serverless Applications,Amazon Web Services,COURSE,4.7,Beginner,27000.0,aws fundamentals building serverless applications amazon web services course beginner
281,AWS Fundamentals: Going Cloud-Native,Amazon Web Services,COURSE,4.7,Beginner,110000.0,aws fundamentals going cloudnative amazon web services course beginner
